Put the verb in passé composé if it's in present and vice versa
habiter,habité,j'ai habité
faire,fait,j'ai fait
voir,vu,j'ai vu
vouloir,voulu,j'ai voulu
partir,parti,je suis parti(e)
aller,allé,je suis allé(e)
être,été,j'ai été
naître,né,je suis né(e)
comprendre,compris,j'ai compris
avoir,eu,j'ai eu
savoir,su,j'ai su
prendre,pris,j'ai pris
venir,venu,je suis vendu(e)
dire,dit,j'ai dit
parler,parlé,j'ai parlé
sortir,sorti,je suis sorti(e)
laver,lavé,j'ai lavé / je me suis lavé(e)
reposer,reposé,j'ai reposé
entendre,entendu,j'ai entendu
